TOP.5c59df19.000d4b8a	START
TOP.5c59e0ac.000296d4	SUB.5c59e0ad.00082b0a	START
TOP.5c59e0ac.000296d4	SUB.5c59e0ad.00082b0a	mask_ctx->mask	?l?l?l?l?l?l
TOP.5c59e0ac.000296d4	SUB.5c59e0ad.00082b0a	runtime_start	1549394093
TOP.5c59e0ac.000296d4	SUB.5c59e0ad.00082b0a	runtime_stop	1549394094
TOP.5c59e0ac.000296d4	SUB.5c59e0ad.00082b0a	status-after-work	5
TOP.5c59e0ac.000296d4	SUB.5c59e0ad.00082b0a	STOP
TOP.5c59e0ac.000296d4	SUB.5c59e0ae.00092bb9	START
TOP.5c59e0ac.000296d4	SUB.5c59e0ae.00092bb9	mask_ctx->mask	?l?l?l?l?l?l?l
TOP.5c59e0ac.000296d4	SUB.5c59e0ae.00092bb9	runtime_start	1549394094
TOP.5c59e0ac.000296d4	SUB.5c59e0ae.00092bb9	runtime_stop	1549394116
TOP.5c59e0ac.000296d4	SUB.5c59e0ae.00092bb9	status-after-work	5
TOP.5c59e0ac.000296d4	SUB.5c59e0ae.00092bb9	STOP
TOP.5c59e0ac.000296d4	proc_start	1549394092
TOP.5c59e0ac.000296d4	proc_stop	1549394118
TOP.5c59e0ac.000296d4	STOP
TOP.5c59e0f8.00007139	START
TOP.5c59e0f8.00007139	user_options->separator	:
TOP.5c59e0f8.00007139	user_options->encoding_from	utf-8
TOP.5c59e0f8.00007139	user_options->encoding_to	utf-8
TOP.5c59e0f8.00007139	user_options->opencl_device_types	1
TOP.5c59e0f8.00007139	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c59e0f8.00007139	user_options->rule_buf_l	:
TOP.5c59e0f8.00007139	user_options->rule_buf_r	:
TOP.5c59e0f8.00007139	user_options->session	2019-02-05
TOP.5c59e0f8.00007139	user_options->limit	0
TOP.5c59e0f8.00007139	user_options->skip	0
TOP.5c59e0f8.00007139	user_options->attack_mode	3
TOP.5c59e0f8.00007139	user_options->benchmark	0
TOP.5c59e0f8.00007139	user_options->benchmark_all	0
TOP.5c59e0f8.00007139	user_options->bitmap_max	18
TOP.5c59e0f8.00007139	user_options->bitmap_min	16
TOP.5c59e0f8.00007139	user_options->debug_mode	0
TOP.5c59e0f8.00007139	user_options->example_hashes	0
TOP.5c59e0f8.00007139	user_options->force	0
TOP.5c59e0f8.00007139	user_options->hwmon_disable	1
TOP.5c59e0f8.00007139	user_options->hwmon_temp_abort	0
TOP.5c59e0f8.00007139	user_options->hash_mode	0
TOP.5c59e0f8.00007139	user_options->hex_charset	0
TOP.5c59e0f8.00007139	user_options->hex_salt	0
TOP.5c59e0f8.00007139	user_options->hex_wordlist	0
TOP.5c59e0f8.00007139	user_options->increment	1
TOP.5c59e0f8.00007139	user_options->increment_max	7
TOP.5c59e0f8.00007139	user_options->increment_min	4
TOP.5c59e0f8.00007139	user_options->keep_guessing	0
TOP.5c59e0f8.00007139	user_options->kernel_accel	0
TOP.5c59e0f8.00007139	user_options->kernel_loops	0
TOP.5c59e0f8.00007139	user_options->kernel_threads	0
TOP.5c59e0f8.00007139	user_options->keyspace	0
TOP.5c59e0f8.00007139	user_options->left	0
TOP.5c59e0f8.00007139	user_options->logfile_disable	0
TOP.5c59e0f8.00007139	user_options->loopback	0
TOP.5c59e0f8.00007139	user_options->machine_readable	0
TOP.5c59e0f8.00007139	user_options->markov_classic	0
TOP.5c59e0f8.00007139	user_options->markov_disable	0
TOP.5c59e0f8.00007139	user_options->markov_threshold	256
TOP.5c59e0f8.00007139	user_options->opencl_info	0
TOP.5c59e0f8.00007139	user_options->opencl_vector_width	0
TOP.5c59e0f8.00007139	user_options->optimized_kernel_enable	1
TOP.5c59e0f8.00007139	user_options->outfile_autohex	1
TOP.5c59e0f8.00007139	user_options->outfile_check_timer	5
TOP.5c59e0f8.00007139	user_options->outfile_format	1
TOP.5c59e0f8.00007139	user_options->wordlist_autohex_disable	0
TOP.5c59e0f8.00007139	user_options->potfile_disable	1
TOP.5c59e0f8.00007139	user_options->progress_only	0
TOP.5c59e0f8.00007139	user_options->quiet	0
TOP.5c59e0f8.00007139	user_options->remove	1
TOP.5c59e0f8.00007139	user_options->remove_timer	60
TOP.5c59e0f8.00007139	user_options->restore	0
TOP.5c59e0f8.00007139	user_options->restore_disable	0
TOP.5c59e0f8.00007139	user_options->restore_timer	60
TOP.5c59e0f8.00007139	user_options->rp_files_cnt	0
TOP.5c59e0f8.00007139	user_options->rp_gen	0
TOP.5c59e0f8.00007139	user_options->rp_gen_func_max	4
TOP.5c59e0f8.00007139	user_options->rp_gen_func_min	1
TOP.5c59e0f8.00007139	user_options->rp_gen_seed	0
TOP.5c59e0f8.00007139	user_options->runtime	0
TOP.5c59e0f8.00007139	user_options->scrypt_tmto	0
TOP.5c59e0f8.00007139	user_options->segment_size	33554432
TOP.5c59e0f8.00007139	user_options->self_test_disable	0
TOP.5c59e0f8.00007139	user_options->slow_candidates	0
TOP.5c59e0f8.00007139	user_options->show	0
TOP.5c59e0f8.00007139	user_options->speed_only	0
TOP.5c59e0f8.00007139	user_options->spin_damp	8
TOP.5c59e0f8.00007139	user_options->status	1
TOP.5c59e0f8.00007139	user_options->status_timer	60
TOP.5c59e0f8.00007139	user_options->stdout_flag	0
TOP.5c59e0f8.00007139	user_options->usage	0
TOP.5c59e0f8.00007139	user_options->username	0
TOP.5c59e0f8.00007139	user_options->veracrypt_pim	0
TOP.5c59e0f8.00007139	user_options->version	0
TOP.5c59e0f8.00007139	user_options->workload_profile	3
TOP.5c59e0f8.00007139	user_options->brain_client	0
TOP.5c59e0f8.00007139	user_options->brain_client_features	2
TOP.5c59e0f8.00007139	user_options->brain_server	0
TOP.5c59e0f8.00007139	user_options->brain_port	6863
TOP.5c59e0f8.00007139	user_options->brain_session	0
TOP.5c59e0f8.00007139	hashes->hashfile	C:\Users\vimal\Desktop\hashme.txt
TOP.5c59e0f8.00007139	hashes->hashlist_mode	4
TOP.5c59e0f8.00007139	hashes->hashlist_format	0
TOP.5c59e0f8.00007139	hashes->hashes_cnt	0
TOP.5c59e0f8.00007139	hashes->digests_cnt	1
TOP.5c59e0f8.00007139	hashes->digests_done	0
TOP.5c59e0f8.00007139	hashes->salts_cnt	1
TOP.5c59e0f8.00007139	hashes->salts_done	0
TOP.5c59e0f8.00007139	SUB.5c59e0f8.000e4dcc	START
TOP.5c59e0f8.00007139	SUB.5c59e0f8.000e5e1d	START
TOP.5c59e0f8.00007139	SUB.5c59e0f8.000e66d3	START
TOP.5c59e0f8.00007139	SUB.5c59e0f8.000e7357	START
TOP.5c59e0f8.00007139	proc_start	1549394168
TOP.5c59e0f8.00007139	proc_stop	1549394170
TOP.5c59e0f8.00007139	STOP
TOP.5c59e104.000d6b25	START
TOP.5c59e104.000d6b25	user_options->separator	:
TOP.5c59e104.000d6b25	user_options->custom_charset_1	?l?u
TOP.5c59e104.000d6b25	user_options->encoding_from	utf-8
TOP.5c59e104.000d6b25	user_options->encoding_to	utf-8
TOP.5c59e104.000d6b25	user_options->opencl_device_types	1
TOP.5c59e104.000d6b25	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c59e104.000d6b25	user_options->rule_buf_l	:
TOP.5c59e104.000d6b25	user_options->rule_buf_r	:
TOP.5c59e104.000d6b25	user_options->session	2019-02-05
TOP.5c59e104.000d6b25	user_options->limit	0
TOP.5c59e104.000d6b25	user_options->skip	0
TOP.5c59e104.000d6b25	user_options->attack_mode	3
TOP.5c59e104.000d6b25	user_options->benchmark	0
TOP.5c59e104.000d6b25	user_options->benchmark_all	0
TOP.5c59e104.000d6b25	user_options->bitmap_max	18
TOP.5c59e104.000d6b25	user_options->bitmap_min	16
TOP.5c59e104.000d6b25	user_options->debug_mode	0
TOP.5c59e104.000d6b25	user_options->example_hashes	0
TOP.5c59e104.000d6b25	user_options->force	0
TOP.5c59e104.000d6b25	user_options->hwmon_disable	1
TOP.5c59e104.000d6b25	user_options->hwmon_temp_abort	0
TOP.5c59e104.000d6b25	user_options->hash_mode	0
TOP.5c59e104.000d6b25	user_options->hex_charset	0
TOP.5c59e104.000d6b25	user_options->hex_salt	0
TOP.5c59e104.000d6b25	user_options->hex_wordlist	0
TOP.5c59e104.000d6b25	user_options->increment	0
TOP.5c59e104.000d6b25	user_options->increment_max	256
TOP.5c59e104.000d6b25	user_options->increment_min	1
TOP.5c59e104.000d6b25	user_options->keep_guessing	0
TOP.5c59e104.000d6b25	user_options->kernel_accel	0
TOP.5c59e104.000d6b25	user_options->kernel_loops	0
TOP.5c59e104.000d6b25	user_options->kernel_threads	0
TOP.5c59e104.000d6b25	user_options->keyspace	0
TOP.5c59e104.000d6b25	user_options->left	0
TOP.5c59e104.000d6b25	user_options->logfile_disable	0
TOP.5c59e104.000d6b25	user_options->loopback	0
TOP.5c59e104.000d6b25	user_options->machine_readable	0
TOP.5c59e104.000d6b25	user_options->markov_classic	0
TOP.5c59e104.000d6b25	user_options->markov_disable	0
TOP.5c59e104.000d6b25	user_options->markov_threshold	256
TOP.5c59e104.000d6b25	user_options->opencl_info	0
TOP.5c59e104.000d6b25	user_options->opencl_vector_width	0
TOP.5c59e104.000d6b25	user_options->optimized_kernel_enable	1
TOP.5c59e104.000d6b25	user_options->outfile_autohex	1
TOP.5c59e104.000d6b25	user_options->outfile_check_timer	5
TOP.5c59e104.000d6b25	user_options->outfile_format	1
TOP.5c59e104.000d6b25	user_options->wordlist_autohex_disable	0
TOP.5c59e104.000d6b25	user_options->potfile_disable	1
TOP.5c59e104.000d6b25	user_options->progress_only	0
TOP.5c59e104.000d6b25	user_options->quiet	0
TOP.5c59e104.000d6b25	user_options->remove	1
TOP.5c59e104.000d6b25	user_options->remove_timer	60
TOP.5c59e104.000d6b25	user_options->restore	0
TOP.5c59e104.000d6b25	user_options->restore_disable	0
TOP.5c59e104.000d6b25	user_options->restore_timer	60
TOP.5c59e104.000d6b25	user_options->rp_files_cnt	0
TOP.5c59e104.000d6b25	user_options->rp_gen	0
TOP.5c59e104.000d6b25	user_options->rp_gen_func_max	4
TOP.5c59e104.000d6b25	user_options->rp_gen_func_min	1
TOP.5c59e104.000d6b25	user_options->rp_gen_seed	0
TOP.5c59e104.000d6b25	user_options->runtime	0
TOP.5c59e104.000d6b25	user_options->scrypt_tmto	0
TOP.5c59e104.000d6b25	user_options->segment_size	33554432
TOP.5c59e104.000d6b25	user_options->self_test_disable	0
TOP.5c59e104.000d6b25	user_options->slow_candidates	0
TOP.5c59e104.000d6b25	user_options->show	0
TOP.5c59e104.000d6b25	user_options->speed_only	0
TOP.5c59e104.000d6b25	user_options->spin_damp	8
TOP.5c59e104.000d6b25	user_options->status	1
TOP.5c59e104.000d6b25	user_options->status_timer	60
TOP.5c59e104.000d6b25	user_options->stdout_flag	0
TOP.5c59e104.000d6b25	user_options->usage	0
TOP.5c59e104.000d6b25	user_options->username	0
TOP.5c59e104.000d6b25	user_options->veracrypt_pim	0
TOP.5c59e104.000d6b25	user_options->version	0
TOP.5c59e104.000d6b25	user_options->workload_profile	3
TOP.5c59e104.000d6b25	user_options->brain_client	0
TOP.5c59e104.000d6b25	user_options->brain_client_features	2
TOP.5c59e104.000d6b25	user_options->brain_server	0
TOP.5c59e104.000d6b25	user_options->brain_port	6863
TOP.5c59e104.000d6b25	user_options->brain_session	0
TOP.5c59e104.000d6b25	hashes->hashfile	C:\Users\vimal\Desktop\hashme.txt
TOP.5c59e104.000d6b25	hashes->hashlist_mode	4
TOP.5c59e104.000d6b25	hashes->hashlist_format	0
TOP.5c59e104.000d6b25	hashes->hashes_cnt	0
TOP.5c59e104.000d6b25	hashes->digests_cnt	1
TOP.5c59e104.000d6b25	hashes->digests_done	0
TOP.5c59e104.000d6b25	hashes->salts_cnt	1
TOP.5c59e104.000d6b25	hashes->salts_done	0
TOP.5c59e104.000d6b25	SUB.5c59e105.000bdcb5	START
TOP.5c59e104.000d6b25	SUB.5c59e105.000bdcb5	mask_ctx->mask	?1?1?1?1?1?1?1?1
TOP.5c59e276.0006a497	START
TOP.5c59e276.0006a497	user_options->separator	:
TOP.5c59e276.0006a497	user_options->encoding_from	utf-8
TOP.5c59e276.0006a497	user_options->encoding_to	utf-8
TOP.5c59e276.0006a497	user_options->opencl_device_types	1
TOP.5c59e276.0006a497	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c59e276.0006a497	user_options->rule_buf_l	:
TOP.5c59e276.0006a497	user_options->rule_buf_r	:
TOP.5c59e276.0006a497	user_options->session	2019-02-05
TOP.5c59e276.0006a497	user_options->limit	0
TOP.5c59e276.0006a497	user_options->skip	0
TOP.5c59e276.0006a497	user_options->attack_mode	0
TOP.5c59e276.0006a497	user_options->benchmark	0
TOP.5c59e276.0006a497	user_options->benchmark_all	0
TOP.5c59e276.0006a497	user_options->bitmap_max	18
TOP.5c59e276.0006a497	user_options->bitmap_min	16
TOP.5c59e276.0006a497	user_options->debug_mode	0
TOP.5c59e276.0006a497	user_options->example_hashes	0
TOP.5c59e276.0006a497	user_options->force	0
TOP.5c59e276.0006a497	user_options->hwmon_disable	1
TOP.5c59e276.0006a497	user_options->hwmon_temp_abort	0
TOP.5c59e276.0006a497	user_options->hash_mode	2600
TOP.5c59e276.0006a497	user_options->hex_charset	0
TOP.5c59e276.0006a497	user_options->hex_salt	0
TOP.5c59e276.0006a497	user_options->hex_wordlist	0
TOP.5c59e276.0006a497	user_options->increment	0
TOP.5c59e276.0006a497	user_options->increment_max	256
TOP.5c59e276.0006a497	user_options->increment_min	1
TOP.5c59e276.0006a497	user_options->keep_guessing	0
TOP.5c59e276.0006a497	user_options->kernel_accel	0
TOP.5c59e276.0006a497	user_options->kernel_loops	0
TOP.5c59e276.0006a497	user_options->kernel_threads	0
TOP.5c59e276.0006a497	user_options->keyspace	0
TOP.5c59e276.0006a497	user_options->left	0
TOP.5c59e276.0006a497	user_options->logfile_disable	0
TOP.5c59e276.0006a497	user_options->loopback	0
TOP.5c59e276.0006a497	user_options->machine_readable	0
TOP.5c59e276.0006a497	user_options->markov_classic	0
TOP.5c59e276.0006a497	user_options->markov_disable	0
TOP.5c59e276.0006a497	user_options->markov_threshold	256
TOP.5c59e276.0006a497	user_options->opencl_info	0
TOP.5c59e276.0006a497	user_options->opencl_vector_width	0
TOP.5c59e276.0006a497	user_options->optimized_kernel_enable	1
TOP.5c59e276.0006a497	user_options->outfile_autohex	1
TOP.5c59e276.0006a497	user_options->outfile_check_timer	5
TOP.5c59e276.0006a497	user_options->outfile_format	3
TOP.5c59e276.0006a497	user_options->wordlist_autohex_disable	0
TOP.5c59e276.0006a497	user_options->potfile_disable	1
TOP.5c59e276.0006a497	user_options->progress_only	0
TOP.5c59e276.0006a497	user_options->quiet	0
TOP.5c59e276.0006a497	user_options->remove	1
TOP.5c59e276.0006a497	user_options->remove_timer	60
TOP.5c59e276.0006a497	user_options->restore	0
TOP.5c59e276.0006a497	user_options->restore_disable	0
TOP.5c59e276.0006a497	user_options->restore_timer	60
TOP.5c59e276.0006a497	user_options->rp_files_cnt	0
TOP.5c59e276.0006a497	user_options->rp_gen	0
TOP.5c59e276.0006a497	user_options->rp_gen_func_max	4
TOP.5c59e276.0006a497	user_options->rp_gen_func_min	1
TOP.5c59e276.0006a497	user_options->rp_gen_seed	0
TOP.5c59e276.0006a497	user_options->runtime	0
TOP.5c59e276.0006a497	user_options->scrypt_tmto	0
TOP.5c59e276.0006a497	user_options->segment_size	33554432
TOP.5c59e276.0006a497	user_options->self_test_disable	0
TOP.5c59e276.0006a497	user_options->slow_candidates	0
TOP.5c59e276.0006a497	user_options->show	0
TOP.5c59e276.0006a497	user_options->speed_only	0
TOP.5c59e276.0006a497	user_options->spin_damp	8
TOP.5c59e276.0006a497	user_options->status	1
TOP.5c59e276.0006a497	user_options->status_timer	60
TOP.5c59e276.0006a497	user_options->stdout_flag	0
TOP.5c59e276.0006a497	user_options->usage	0
TOP.5c59e276.0006a497	user_options->username	0
TOP.5c59e276.0006a497	user_options->veracrypt_pim	0
TOP.5c59e276.0006a497	user_options->version	0
TOP.5c59e276.0006a497	user_options->workload_profile	3
TOP.5c59e276.0006a497	user_options->brain_client	0
TOP.5c59e276.0006a497	user_options->brain_client_features	2
TOP.5c59e276.0006a497	user_options->brain_server	0
TOP.5c59e276.0006a497	user_options->brain_port	6863
TOP.5c59e276.0006a497	user_options->brain_session	0
TOP.5c59e276.0006a497	hashes->hashfile	C:\Users\vimal\Desktop\hashme.txt
TOP.5c59e276.0006a497	hashes->hashlist_mode	4
TOP.5c59e276.0006a497	hashes->hashlist_format	0
TOP.5c59e276.0006a497	hashes->hashes_cnt	0
TOP.5c59e276.0006a497	hashes->digests_cnt	1
TOP.5c59e276.0006a497	hashes->digests_done	0
TOP.5c59e276.0006a497	hashes->salts_cnt	1
TOP.5c59e276.0006a497	hashes->salts_done	0
TOP.5c59e276.0006a497	SUB.5c59e279.0004c171	START
TOP.5c59e2e1.000b5a82	START
TOP.5c59e2e1.000b5a82	user_options->separator	:
TOP.5c59e2e1.000b5a82	user_options->custom_charset_1	?l
TOP.5c59e2e1.000b5a82	user_options->encoding_from	utf-8
TOP.5c59e2e1.000b5a82	user_options->encoding_to	utf-8
TOP.5c59e2e1.000b5a82	user_options->opencl_device_types	1
TOP.5c59e2e1.000b5a82	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c59e2e1.000b5a82	user_options->rule_buf_l	:
TOP.5c59e2e1.000b5a82	user_options->rule_buf_r	:
TOP.5c59e2e1.000b5a82	user_options->session	2019-02-05
TOP.5c59e2e1.000b5a82	user_options->limit	0
TOP.5c59e2e1.000b5a82	user_options->skip	0
TOP.5c59e2e1.000b5a82	user_options->attack_mode	3
TOP.5c59e2e1.000b5a82	user_options->benchmark	0
TOP.5c59e2e1.000b5a82	user_options->benchmark_all	0
TOP.5c59e2e1.000b5a82	user_options->bitmap_max	18
TOP.5c59e2e1.000b5a82	user_options->bitmap_min	16
TOP.5c59e2e1.000b5a82	user_options->debug_mode	0
TOP.5c59e2e1.000b5a82	user_options->example_hashes	0
TOP.5c59e2e1.000b5a82	user_options->force	0
TOP.5c59e2e1.000b5a82	user_options->hwmon_disable	1
TOP.5c59e2e1.000b5a82	user_options->hwmon_temp_abort	0
TOP.5c59e2e1.000b5a82	user_options->hash_mode	10
TOP.5c59e2e1.000b5a82	user_options->hex_charset	0
TOP.5c59e2e1.000b5a82	user_options->hex_salt	0
TOP.5c59e2e1.000b5a82	user_options->hex_wordlist	0
TOP.5c59e2e1.000b5a82	user_options->increment	0
TOP.5c59e2e1.000b5a82	user_options->increment_max	256
TOP.5c59e2e1.000b5a82	user_options->increment_min	1
TOP.5c59e2e1.000b5a82	user_options->keep_guessing	0
TOP.5c59e2e1.000b5a82	user_options->kernel_accel	0
TOP.5c59e2e1.000b5a82	user_options->kernel_loops	0
TOP.5c59e2e1.000b5a82	user_options->kernel_threads	0
TOP.5c59e2e1.000b5a82	user_options->keyspace	0
TOP.5c59e2e1.000b5a82	user_options->left	0
TOP.5c59e2e1.000b5a82	user_options->logfile_disable	0
TOP.5c59e2e1.000b5a82	user_options->loopback	0
TOP.5c59e2e1.000b5a82	user_options->machine_readable	0
TOP.5c59e2e1.000b5a82	user_options->markov_classic	0
TOP.5c59e2e1.000b5a82	user_options->markov_disable	0
TOP.5c59e2e1.000b5a82	user_options->markov_threshold	256
TOP.5c59e2e1.000b5a82	user_options->opencl_info	0
TOP.5c59e2e1.000b5a82	user_options->opencl_vector_width	0
TOP.5c59e2e1.000b5a82	user_options->optimized_kernel_enable	1
TOP.5c59e2e1.000b5a82	user_options->outfile_autohex	1
TOP.5c59e2e1.000b5a82	user_options->outfile_check_timer	5
TOP.5c59e2e1.000b5a82	user_options->outfile_format	3
TOP.5c59e2e1.000b5a82	user_options->wordlist_autohex_disable	0
TOP.5c59e2e1.000b5a82	user_options->potfile_disable	1
TOP.5c59e2e1.000b5a82	user_options->progress_only	0
TOP.5c59e2e1.000b5a82	user_options->quiet	0
TOP.5c59e2e1.000b5a82	user_options->remove	1
TOP.5c59e2e1.000b5a82	user_options->remove_timer	60
TOP.5c59e2e1.000b5a82	user_options->restore	0
TOP.5c59e2e1.000b5a82	user_options->restore_disable	0
TOP.5c59e2e1.000b5a82	user_options->restore_timer	60
TOP.5c59e2e1.000b5a82	user_options->rp_files_cnt	0
TOP.5c59e2e1.000b5a82	user_options->rp_gen	0
TOP.5c59e2e1.000b5a82	user_options->rp_gen_func_max	4
TOP.5c59e2e1.000b5a82	user_options->rp_gen_func_min	1
TOP.5c59e2e1.000b5a82	user_options->rp_gen_seed	0
TOP.5c59e2e1.000b5a82	user_options->runtime	0
TOP.5c59e2e1.000b5a82	user_options->scrypt_tmto	0
TOP.5c59e2e1.000b5a82	user_options->segment_size	33554432
TOP.5c59e2e1.000b5a82	user_options->self_test_disable	0
TOP.5c59e2e1.000b5a82	user_options->slow_candidates	0
TOP.5c59e2e1.000b5a82	user_options->show	0
TOP.5c59e2e1.000b5a82	user_options->speed_only	0
TOP.5c59e2e1.000b5a82	user_options->spin_damp	8
TOP.5c59e2e1.000b5a82	user_options->status	1
TOP.5c59e2e1.000b5a82	user_options->status_timer	60
TOP.5c59e2e1.000b5a82	user_options->stdout_flag	0
TOP.5c59e2e1.000b5a82	user_options->usage	0
TOP.5c59e2e1.000b5a82	user_options->username	0
TOP.5c59e2e1.000b5a82	user_options->veracrypt_pim	0
TOP.5c59e2e1.000b5a82	user_options->version	0
TOP.5c59e2e1.000b5a82	user_options->workload_profile	3
TOP.5c59e2e1.000b5a82	user_options->brain_client	0
TOP.5c59e2e1.000b5a82	user_options->brain_client_features	2
TOP.5c59e2e1.000b5a82	user_options->brain_server	0
TOP.5c59e2e1.000b5a82	user_options->brain_port	6863
TOP.5c59e2e1.000b5a82	user_options->brain_session	0
TOP.5c59e2e1.000b5a82	proc_start	1549394657
TOP.5c59e2e1.000b5a82	proc_stop	1549394657
TOP.5c59e2e1.000b5a82	STOP
TOP.5c59e2f4.0003a6b1	START
TOP.5c59e2f4.0003a6b1	user_options->separator	:
TOP.5c59e2f4.0003a6b1	user_options->custom_charset_1	?l
TOP.5c59e2f4.0003a6b1	user_options->encoding_from	utf-8
TOP.5c59e2f4.0003a6b1	user_options->encoding_to	utf-8
TOP.5c59e2f4.0003a6b1	user_options->opencl_device_types	1
TOP.5c59e2f4.0003a6b1	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c59e2f4.0003a6b1	user_options->rule_buf_l	:
TOP.5c59e2f4.0003a6b1	user_options->rule_buf_r	:
TOP.5c59e2f4.0003a6b1	user_options->session	2019-02-05
TOP.5c59e2f4.0003a6b1	user_options->limit	0
TOP.5c59e2f4.0003a6b1	user_options->skip	0
TOP.5c59e2f4.0003a6b1	user_options->attack_mode	3
TOP.5c59e2f4.0003a6b1	user_options->benchmark	0
TOP.5c59e2f4.0003a6b1	user_options->benchmark_all	0
TOP.5c59e2f4.0003a6b1	user_options->bitmap_max	18
TOP.5c59e2f4.0003a6b1	user_options->bitmap_min	16
TOP.5c59e2f4.0003a6b1	user_options->debug_mode	0
TOP.5c59e2f4.0003a6b1	user_options->example_hashes	0
TOP.5c59e2f4.0003a6b1	user_options->force	0
TOP.5c59e2f4.0003a6b1	user_options->hwmon_disable	1
TOP.5c59e2f4.0003a6b1	user_options->hwmon_temp_abort	0
TOP.5c59e2f4.0003a6b1	user_options->hash_mode	10
TOP.5c59e2f4.0003a6b1	user_options->hex_charset	0
TOP.5c59e2f4.0003a6b1	user_options->hex_salt	0
TOP.5c59e2f4.0003a6b1	user_options->hex_wordlist	0
TOP.5c59e2f4.0003a6b1	user_options->increment	1
TOP.5c59e2f4.0003a6b1	user_options->increment_max	7
TOP.5c59e2f4.0003a6b1	user_options->increment_min	4
TOP.5c59e2f4.0003a6b1	user_options->keep_guessing	0
TOP.5c59e2f4.0003a6b1	user_options->kernel_accel	0
TOP.5c59e2f4.0003a6b1	user_options->kernel_loops	0
TOP.5c59e2f4.0003a6b1	user_options->kernel_threads	0
TOP.5c59e2f4.0003a6b1	user_options->keyspace	0
TOP.5c59e2f4.0003a6b1	user_options->left	0
TOP.5c59e2f4.0003a6b1	user_options->logfile_disable	0
TOP.5c59e2f4.0003a6b1	user_options->loopback	0
TOP.5c59e2f4.0003a6b1	user_options->machine_readable	0
TOP.5c59e2f4.0003a6b1	user_options->markov_classic	0
TOP.5c59e2f4.0003a6b1	user_options->markov_disable	0
TOP.5c59e2f4.0003a6b1	user_options->markov_threshold	256
TOP.5c59e2f4.0003a6b1	user_options->opencl_info	0
TOP.5c59e2f4.0003a6b1	user_options->opencl_vector_width	0
TOP.5c59e2f4.0003a6b1	user_options->optimized_kernel_enable	1
TOP.5c59e2f4.0003a6b1	user_options->outfile_autohex	1
TOP.5c59e2f4.0003a6b1	user_options->outfile_check_timer	5
TOP.5c59e2f4.0003a6b1	user_options->outfile_format	3
TOP.5c59e2f4.0003a6b1	user_options->wordlist_autohex_disable	0
TOP.5c59e2f4.0003a6b1	user_options->potfile_disable	1
TOP.5c59e2f4.0003a6b1	user_options->progress_only	0
TOP.5c59e2f4.0003a6b1	user_options->quiet	0
TOP.5c59e2f4.0003a6b1	user_options->remove	1
TOP.5c59e2f4.0003a6b1	user_options->remove_timer	60
TOP.5c59e2f4.0003a6b1	user_options->restore	0
TOP.5c59e2f4.0003a6b1	user_options->restore_disable	0
TOP.5c59e2f4.0003a6b1	user_options->restore_timer	60
TOP.5c59e2f4.0003a6b1	user_options->rp_files_cnt	0
TOP.5c59e2f4.0003a6b1	user_options->rp_gen	0
TOP.5c59e2f4.0003a6b1	user_options->rp_gen_func_max	4
TOP.5c59e2f4.0003a6b1	user_options->rp_gen_func_min	1
TOP.5c59e2f4.0003a6b1	user_options->rp_gen_seed	0
TOP.5c59e2f4.0003a6b1	user_options->runtime	0
TOP.5c59e2f4.0003a6b1	user_options->scrypt_tmto	0
TOP.5c59e2f4.0003a6b1	user_options->segment_size	33554432
TOP.5c59e2f4.0003a6b1	user_options->self_test_disable	0
TOP.5c59e2f4.0003a6b1	user_options->slow_candidates	0
TOP.5c59e2f4.0003a6b1	user_options->show	0
TOP.5c59e2f4.0003a6b1	user_options->speed_only	0
TOP.5c59e2f4.0003a6b1	user_options->spin_damp	8
TOP.5c59e2f4.0003a6b1	user_options->status	1
TOP.5c59e2f4.0003a6b1	user_options->status_timer	60
TOP.5c59e2f4.0003a6b1	user_options->stdout_flag	0
TOP.5c59e2f4.0003a6b1	user_options->usage	0
TOP.5c59e2f4.0003a6b1	user_options->username	0
TOP.5c59e2f4.0003a6b1	user_options->veracrypt_pim	0
TOP.5c59e2f4.0003a6b1	user_options->version	0
TOP.5c59e2f4.0003a6b1	user_options->workload_profile	3
TOP.5c59e2f4.0003a6b1	user_options->brain_client	0
TOP.5c59e2f4.0003a6b1	user_options->brain_client_features	2
TOP.5c59e2f4.0003a6b1	user_options->brain_server	0
TOP.5c59e2f4.0003a6b1	user_options->brain_port	6863
TOP.5c59e2f4.0003a6b1	user_options->brain_session	0
TOP.5c59e2f4.0003a6b1	proc_start	1549394676
TOP.5c59e2f4.0003a6b1	proc_stop	1549394676
TOP.5c59e2f4.0003a6b1	STOP
TOP.5c59e2ff.000965ad	START
TOP.5c59e2ff.000965ad	user_options->separator	:
TOP.5c59e2ff.000965ad	user_options->custom_charset_1	?l
TOP.5c59e2ff.000965ad	user_options->encoding_from	utf-8
TOP.5c59e2ff.000965ad	user_options->encoding_to	utf-8
TOP.5c59e2ff.000965ad	user_options->opencl_device_types	1
TOP.5c59e2ff.000965ad	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
