TOP.5c61a0bc.00000dbe	START
TOP.5c61a0bc.00000dbe	user_options->kernel_loops	0
TOP.5c61a0bc.00000dbe	user_options->kernel_threads	0
TOP.5c61a0bc.00000dbe	user_options->keyspace	0
TOP.5c61a0bc.00000dbe	user_options->left	0
TOP.5c61a0bc.00000dbe	user_options->logfile_disable	0
TOP.5c61a0bc.00000dbe	user_options->loopback	0
TOP.5c61a0bc.00000dbe	user_options->machine_readable	0
TOP.5c61a0bc.00000dbe	user_options->markov_classic	0
TOP.5c61a0bc.00000dbe	user_options->markov_disable	0
TOP.5c61a0bc.00000dbe	user_options->markov_threshold	256
TOP.5c61a0bc.00000dbe	user_options->opencl_info	0
TOP.5c61a0bc.00000dbe	user_options->opencl_vector_width	0
TOP.5c61a0bc.00000dbe	user_options->optimized_kernel_enable	1
TOP.5c61a0bc.00000dbe	user_options->outfile_autohex	1
TOP.5c61a0bc.00000dbe	user_options->outfile_check_timer	5
TOP.5c61a0bc.00000dbe	user_options->outfile_format	3
TOP.5c61a0bc.00000dbe	user_options->wordlist_autohex_disable	0
TOP.5c61a0bc.00000dbe	user_options->potfile_disable	1
TOP.5c61a0bc.00000dbe	user_options->progress_only	0
TOP.5c61a0bc.00000dbe	user_options->quiet	0
TOP.5c61a0bc.00000dbe	user_options->remove	1
TOP.5c61a0bc.00000dbe	user_options->remove_timer	60
TOP.5c61a0bc.00000dbe	user_options->restore	0
TOP.5c61a0bc.00000dbe	user_options->restore_disable	0
TOP.5c61a0bc.00000dbe	user_options->restore_timer	60
TOP.5c61a0bc.00000dbe	user_options->rp_files_cnt	0
TOP.5c61a0bc.00000dbe	user_options->rp_gen	0
TOP.5c61a0bc.00000dbe	user_options->rp_gen_func_max	4
TOP.5c61a0bc.00000dbe	user_options->rp_gen_func_min	1
TOP.5c61a0bc.00000dbe	user_options->rp_gen_seed	0
TOP.5c61a0bc.00000dbe	user_options->runtime	0
TOP.5c61a0bc.00000dbe	user_options->scrypt_tmto	0
TOP.5c61a0bc.00000dbe	user_options->segment_size	33554432
TOP.5c61a0bc.00000dbe	user_options->self_test_disable	0
TOP.5c61a0bc.00000dbe	user_options->slow_candidates	0
TOP.5c61a0bc.00000dbe	user_options->show	0
TOP.5c61a0bc.00000dbe	user_options->speed_only	0
TOP.5c61a0bc.00000dbe	user_options->spin_damp	8
TOP.5c61a0bc.00000dbe	user_options->status	1
TOP.5c61a0bc.00000dbe	user_options->status_timer	60
TOP.5c61a0bc.00000dbe	user_options->stdout_flag	0
TOP.5c61a0bc.00000dbe	user_options->usage	0
TOP.5c61a0bc.00000dbe	user_options->username	0
TOP.5c61a0bc.00000dbe	user_options->veracrypt_pim	0
TOP.5c61a0bc.00000dbe	user_options->version	0
TOP.5c61a0bc.00000dbe	user_options->workload_profile	3
TOP.5c61a0bc.00000dbe	user_options->brain_client	0
TOP.5c61a0bc.00000dbe	user_options->brain_client_features	2
TOP.5c61a0bc.00000dbe	user_options->brain_server	0
TOP.5c61a0bc.00000dbe	user_options->brain_port	6863
TOP.5c61a0bc.00000dbe	user_options->brain_session	0
TOP.5c61a0bc.00000dbe	proc_start	1549902012
TOP.5c61a0bc.00000dbe	proc_stop	1549902012
TOP.5c61a0bc.00000dbe	STOP
TOP.5c61a0e9.00095203	START
TOP.5c61a0e9.00095203	user_options->separator	:
TOP.5c61a0e9.00095203	user_options->custom_charset_1	?l?d?u
TOP.5c61a0e9.00095203	user_options->custom_charset_2	?l?d
TOP.5c61a0e9.00095203	user_options->custom_charset_3	?l?d*!$@_
TOP.5c61a0e9.00095203	user_options->encoding_from	utf-8
TOP.5c61a0e9.00095203	user_options->encoding_to	utf-8
TOP.5c61a0e9.00095203	user_options->opencl_device_types	1
TOP.5c61a0e9.00095203	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a0e9.00095203	user_options->rule_buf_l	:
TOP.5c61a0e9.00095203	user_options->rule_buf_r	:
TOP.5c61a0e9.00095203	user_options->session	2019-02-11
TOP.5c61a0e9.00095203	user_options->limit	0
TOP.5c61a0e9.00095203	user_options->skip	0
TOP.5c61a0e9.00095203	user_options->attack_mode	3
TOP.5c61a0e9.00095203	user_options->benchmark	0
TOP.5c61a0e9.00095203	user_options->benchmark_all	0
TOP.5c61a0e9.00095203	user_options->bitmap_max	18
TOP.5c61a0e9.00095203	user_options->bitmap_min	16
TOP.5c61a0e9.00095203	user_options->debug_mode	0
TOP.5c61a0e9.00095203	user_options->example_hashes	0
TOP.5c61a0e9.00095203	user_options->force	0
TOP.5c61a0e9.00095203	user_options->hwmon_disable	1
TOP.5c61a0e9.00095203	user_options->hwmon_temp_abort	0
TOP.5c61a0e9.00095203	user_options->hash_mode	120
TOP.5c61a0e9.00095203	user_options->hex_charset	0
TOP.5c61a0e9.00095203	user_options->hex_salt	0
TOP.5c61a0e9.00095203	user_options->hex_wordlist	0
TOP.5c61a0e9.00095203	user_options->increment	1
TOP.5c61a0e9.00095203	user_options->increment_max	7
TOP.5c61a0e9.00095203	user_options->increment_min	5
TOP.5c61a0e9.00095203	user_options->keep_guessing	0
TOP.5c61a0e9.00095203	user_options->kernel_accel	0
TOP.5c61a0e9.00095203	user_options->kernel_loops	0
TOP.5c61a0e9.00095203	user_options->kernel_threads	0
TOP.5c61a0e9.00095203	user_options->keyspace	0
TOP.5c61a0e9.00095203	user_options->left	0
TOP.5c61a0e9.00095203	user_options->logfile_disable	0
TOP.5c61a0e9.00095203	user_options->loopback	0
TOP.5c61a0e9.00095203	user_options->machine_readable	0
TOP.5c61a0e9.00095203	user_options->markov_classic	0
TOP.5c61a0e9.00095203	user_options->markov_disable	0
TOP.5c61a0e9.00095203	user_options->markov_threshold	256
TOP.5c61a0e9.00095203	user_options->opencl_info	0
TOP.5c61a0e9.00095203	user_options->opencl_vector_width	0
TOP.5c61a0e9.00095203	user_options->optimized_kernel_enable	1
TOP.5c61a0e9.00095203	user_options->outfile_autohex	1
TOP.5c61a0e9.00095203	user_options->outfile_check_timer	5
TOP.5c61a0e9.00095203	user_options->outfile_format	3
TOP.5c61a0e9.00095203	user_options->wordlist_autohex_disable	0
TOP.5c61a0e9.00095203	user_options->potfile_disable	1
TOP.5c61a0e9.00095203	user_options->progress_only	0
TOP.5c61a0e9.00095203	user_options->quiet	0
TOP.5c61a0e9.00095203	user_options->remove	1
TOP.5c61a0e9.00095203	user_options->remove_timer	60
TOP.5c61a0e9.00095203	user_options->restore	0
TOP.5c61a0e9.00095203	user_options->restore_disable	0
TOP.5c61a0e9.00095203	user_options->restore_timer	60
TOP.5c61a0e9.00095203	user_options->rp_files_cnt	0
TOP.5c61a0e9.00095203	user_options->rp_gen	0
TOP.5c61a0e9.00095203	user_options->rp_gen_func_max	4
TOP.5c61a0e9.00095203	user_options->rp_gen_func_min	1
TOP.5c61a0e9.00095203	user_options->rp_gen_seed	0
TOP.5c61a0e9.00095203	user_options->runtime	0
TOP.5c61a0e9.00095203	user_options->scrypt_tmto	0
TOP.5c61a0e9.00095203	user_options->segment_size	33554432
TOP.5c61a0e9.00095203	user_options->self_test_disable	0
TOP.5c61a0e9.00095203	user_options->slow_candidates	0
TOP.5c61a0e9.00095203	user_options->show	0
TOP.5c61a0e9.00095203	user_options->speed_only	0
TOP.5c61a0e9.00095203	user_options->spin_damp	8
TOP.5c61a0e9.00095203	user_options->status	1
TOP.5c61a0e9.00095203	user_options->status_timer	60
TOP.5c61a0e9.00095203	user_options->stdout_flag	0
TOP.5c61a0e9.00095203	user_options->usage	0
TOP.5c61a0e9.00095203	user_options->username	0
TOP.5c61a0e9.00095203	user_options->veracrypt_pim	0
TOP.5c61a0e9.00095203	user_options->version	0
TOP.5c61a0e9.00095203	user_options->workload_profile	3
TOP.5c61a0e9.00095203	user_options->brain_client	0
TOP.5c61a0e9.00095203	user_options->brain_client_features	2
TOP.5c61a0e9.00095203	user_options->brain_server	0
TOP.5c61a0e9.00095203	user_options->brain_port	6863
TOP.5c61a0e9.00095203	user_options->brain_session	0
TOP.5c61a0e9.00095203	proc_start	1549902057
TOP.5c61a0e9.00095203	proc_stop	1549902057
TOP.5c61a0e9.00095203	STOP
TOP.5c61a11b.000aa86b	START
TOP.5c61a11b.000aa86b	user_options->separator	:
TOP.5c61a11b.000aa86b	user_options->custom_charset_1	?l?d?u
TOP.5c61a11b.000aa86b	user_options->custom_charset_2	?l?d
TOP.5c61a11b.000aa86b	user_options->custom_charset_3	?l?d*!$@_
TOP.5c61a11b.000aa86b	user_options->encoding_from	utf-8
TOP.5c61a11b.000aa86b	user_options->encoding_to	utf-8
TOP.5c61a11b.000aa86b	user_options->opencl_device_types	1
TOP.5c61a11b.000aa86b	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a11b.000aa86b	user_options->rule_buf_l	:
TOP.5c61a11b.000aa86b	user_options->rule_buf_r	:
TOP.5c61a11b.000aa86b	user_options->session	2019-02-11
TOP.5c61a11b.000aa86b	user_options->limit	0
TOP.5c61a11b.000aa86b	user_options->skip	0
TOP.5c61a11b.000aa86b	user_options->attack_mode	3
TOP.5c61a11b.000aa86b	user_options->benchmark	0
TOP.5c61a11b.000aa86b	user_options->benchmark_all	0
TOP.5c61a11b.000aa86b	user_options->bitmap_max	18
TOP.5c61a11b.000aa86b	user_options->bitmap_min	16
TOP.5c61a11b.000aa86b	user_options->debug_mode	0
TOP.5c61a11b.000aa86b	user_options->example_hashes	0
TOP.5c61a11b.000aa86b	user_options->force	0
TOP.5c61a11b.000aa86b	user_options->hwmon_disable	1
TOP.5c61a11b.000aa86b	user_options->hwmon_temp_abort	0
TOP.5c61a11b.000aa86b	user_options->hash_mode	120
TOP.5c61a11b.000aa86b	user_options->hex_charset	0
TOP.5c61a11b.000aa86b	user_options->hex_salt	0
TOP.5c61a11b.000aa86b	user_options->hex_wordlist	0
TOP.5c61a11b.000aa86b	user_options->increment	1
TOP.5c61a11b.000aa86b	user_options->increment_max	7
TOP.5c61a11b.000aa86b	user_options->increment_min	5
TOP.5c61a11b.000aa86b	user_options->keep_guessing	0
TOP.5c61a11b.000aa86b	user_options->kernel_accel	0
TOP.5c61a11b.000aa86b	user_options->kernel_loops	0
TOP.5c61a11b.000aa86b	user_options->kernel_threads	0
TOP.5c61a11b.000aa86b	user_options->keyspace	0
TOP.5c61a11b.000aa86b	user_options->left	0
TOP.5c61a11b.000aa86b	user_options->logfile_disable	0
TOP.5c61a11b.000aa86b	user_options->loopback	0
TOP.5c61a11b.000aa86b	user_options->machine_readable	0
TOP.5c61a11b.000aa86b	user_options->markov_classic	0
TOP.5c61a11b.000aa86b	user_options->markov_disable	0
TOP.5c61a11b.000aa86b	user_options->markov_threshold	256
TOP.5c61a11b.000aa86b	user_options->opencl_info	0
TOP.5c61a11b.000aa86b	user_options->opencl_vector_width	0
TOP.5c61a11b.000aa86b	user_options->optimized_kernel_enable	1
TOP.5c61a11b.000aa86b	user_options->outfile_autohex	1
TOP.5c61a11b.000aa86b	user_options->outfile_check_timer	5
TOP.5c61a11b.000aa86b	user_options->outfile_format	11
TOP.5c61a11b.000aa86b	user_options->wordlist_autohex_disable	0
TOP.5c61a11b.000aa86b	user_options->potfile_disable	1
TOP.5c61a11b.000aa86b	user_options->progress_only	0
TOP.5c61a11b.000aa86b	user_options->quiet	0
TOP.5c61a11b.000aa86b	user_options->remove	1
TOP.5c61a11b.000aa86b	user_options->remove_timer	60
TOP.5c61a11b.000aa86b	user_options->restore	0
TOP.5c61a11b.000aa86b	user_options->restore_disable	0
TOP.5c61a11b.000aa86b	user_options->restore_timer	60
TOP.5c61a11b.000aa86b	user_options->rp_files_cnt	0
TOP.5c61a11b.000aa86b	user_options->rp_gen	0
TOP.5c61a11b.000aa86b	user_options->rp_gen_func_max	4
TOP.5c61a11b.000aa86b	user_options->rp_gen_func_min	1
TOP.5c61a11b.000aa86b	user_options->rp_gen_seed	0
TOP.5c61a11b.000aa86b	user_options->runtime	0
TOP.5c61a11b.000aa86b	user_options->scrypt_tmto	0
TOP.5c61a11b.000aa86b	user_options->segment_size	33554432
TOP.5c61a11b.000aa86b	user_options->self_test_disable	0
TOP.5c61a11b.000aa86b	user_options->slow_candidates	0
TOP.5c61a11b.000aa86b	user_options->show	0
TOP.5c61a11b.000aa86b	user_options->speed_only	0
TOP.5c61a11b.000aa86b	user_options->spin_damp	8
TOP.5c61a11b.000aa86b	user_options->status	1
TOP.5c61a11b.000aa86b	user_options->status_timer	60
TOP.5c61a11b.000aa86b	user_options->stdout_flag	0
TOP.5c61a11b.000aa86b	user_options->usage	0
TOP.5c61a11b.000aa86b	user_options->username	0
TOP.5c61a11b.000aa86b	user_options->veracrypt_pim	0
TOP.5c61a11b.000aa86b	user_options->version	0
TOP.5c61a11b.000aa86b	user_options->workload_profile	3
TOP.5c61a11b.000aa86b	user_options->brain_client	0
TOP.5c61a11b.000aa86b	user_options->brain_client_features	2
TOP.5c61a11b.000aa86b	user_options->brain_server	0
TOP.5c61a11b.000aa86b	user_options->brain_port	6863
TOP.5c61a11b.000aa86b	user_options->brain_session	0
TOP.5c61a11b.000aa86b	proc_start	1549902107
TOP.5c61a11b.000aa86b	proc_stop	1549902107
TOP.5c61a11b.000aa86b	STOP
TOP.5c61a1c4.00027c90	START
TOP.5c61a1c4.00027c90	user_options->separator	:
TOP.5c61a1c4.00027c90	user_options->custom_charset_1	?d
TOP.5c61a1c4.00027c90	user_options->encoding_from	utf-8
TOP.5c61a1c4.00027c90	user_options->encoding_to	utf-8
TOP.5c61a1c4.00027c90	user_options->opencl_device_types	1
TOP.5c61a1c4.00027c90	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a1c4.00027c90	user_options->rule_buf_l	:
TOP.5c61a1c4.00027c90	user_options->rule_buf_r	:
TOP.5c61a1c4.00027c90	user_options->session	2019-02-11
TOP.5c61a1c4.00027c90	user_options->limit	0
TOP.5c61a1c4.00027c90	user_options->skip	0
TOP.5c61a1c4.00027c90	user_options->attack_mode	3
TOP.5c61a1c4.00027c90	user_options->benchmark	0
TOP.5c61a1c4.00027c90	user_options->benchmark_all	0
TOP.5c61a1c4.00027c90	user_options->bitmap_max	18
TOP.5c61a1c4.00027c90	user_options->bitmap_min	16
TOP.5c61a1c4.00027c90	user_options->debug_mode	0
TOP.5c61a1c4.00027c90	user_options->example_hashes	0
TOP.5c61a1c4.00027c90	user_options->force	0
TOP.5c61a1c4.00027c90	user_options->hwmon_disable	1
TOP.5c61a1c4.00027c90	user_options->hwmon_temp_abort	0
TOP.5c61a1c4.00027c90	user_options->hash_mode	0
TOP.5c61a1c4.00027c90	user_options->hex_charset	0
TOP.5c61a1c4.00027c90	user_options->hex_salt	0
TOP.5c61a1c4.00027c90	user_options->hex_wordlist	0
TOP.5c61a1c4.00027c90	user_options->increment	1
TOP.5c61a1c4.00027c90	user_options->increment_max	7
TOP.5c61a1c4.00027c90	user_options->increment_min	5
TOP.5c61a1c4.00027c90	user_options->keep_guessing	0
TOP.5c61a1c4.00027c90	user_options->kernel_accel	0
TOP.5c61a1c4.00027c90	user_options->kernel_loops	0
TOP.5c61a1c4.00027c90	user_options->kernel_threads	0
TOP.5c61a1c4.00027c90	user_options->keyspace	0
TOP.5c61a1c4.00027c90	user_options->left	0
TOP.5c61a1c4.00027c90	user_options->logfile_disable	0
TOP.5c61a1c4.00027c90	user_options->loopback	0
TOP.5c61a1c4.00027c90	user_options->machine_readable	0
TOP.5c61a1c4.00027c90	user_options->markov_classic	0
TOP.5c61a1c4.00027c90	user_options->markov_disable	0
TOP.5c61a1c4.00027c90	user_options->markov_threshold	256
TOP.5c61a1c4.00027c90	user_options->opencl_info	0
TOP.5c61a1c4.00027c90	user_options->opencl_vector_width	0
TOP.5c61a1c4.00027c90	user_options->optimized_kernel_enable	1
TOP.5c61a1c4.00027c90	user_options->outfile_autohex	1
TOP.5c61a1c4.00027c90	user_options->outfile_check_timer	5
TOP.5c61a1c4.00027c90	user_options->outfile_format	3
TOP.5c61a1c4.00027c90	user_options->wordlist_autohex_disable	0
TOP.5c61a1c4.00027c90	user_options->potfile_disable	1
TOP.5c61a1c4.00027c90	user_options->progress_only	0
TOP.5c61a1c4.00027c90	user_options->quiet	0
TOP.5c61a1c4.00027c90	user_options->remove	1
TOP.5c61a1c4.00027c90	user_options->remove_timer	60
TOP.5c61a1c4.00027c90	user_options->restore	0
TOP.5c61a1c4.00027c90	user_options->restore_disable	0
TOP.5c61a1c4.00027c90	user_options->restore_timer	60
TOP.5c61a1c4.00027c90	user_options->rp_files_cnt	0
TOP.5c61a1c4.00027c90	user_options->rp_gen	0
TOP.5c61a1c4.00027c90	user_options->rp_gen_func_max	4
TOP.5c61a1c4.00027c90	user_options->rp_gen_func_min	1
TOP.5c61a1c4.00027c90	user_options->rp_gen_seed	0
TOP.5c61a1c4.00027c90	user_options->runtime	0
TOP.5c61a1c4.00027c90	user_options->scrypt_tmto	0
TOP.5c61a1c4.00027c90	user_options->segment_size	33554432
TOP.5c61a1c4.00027c90	user_options->self_test_disable	0
TOP.5c61a1c4.00027c90	user_options->slow_candidates	0
TOP.5c61a1c4.00027c90	user_options->show	0
TOP.5c61a1c4.00027c90	user_options->speed_only	0
TOP.5c61a1c4.00027c90	user_options->spin_damp	8
TOP.5c61a1c4.00027c90	user_options->status	1
TOP.5c61a1c4.00027c90	user_options->status_timer	60
TOP.5c61a1c4.00027c90	user_options->stdout_flag	0
TOP.5c61a1c4.00027c90	user_options->usage	0
TOP.5c61a1c4.00027c90	user_options->username	0
TOP.5c61a1c4.00027c90	user_options->veracrypt_pim	0
TOP.5c61a1c4.00027c90	user_options->version	0
TOP.5c61a1c4.00027c90	user_options->workload_profile	3
TOP.5c61a1c4.00027c90	user_options->brain_client	0
TOP.5c61a1c4.00027c90	user_options->brain_client_features	2
TOP.5c61a1c4.00027c90	user_options->brain_server	0
TOP.5c61a1c4.00027c90	user_options->brain_port	6863
TOP.5c61a1c4.00027c90	user_options->brain_session	0
TOP.5c61a1c4.00027c90	proc_start	1549902276
TOP.5c61a1c4.00027c90	proc_stop	1549902276
TOP.5c61a1c4.00027c90	STOP
TOP.5c61a1ed.000d6ad2	START
TOP.5c61a1ed.000d6ad2	user_options->separator	:
TOP.5c61a1ed.000d6ad2	user_options->custom_charset_1	?d
TOP.5c61a1ed.000d6ad2	user_options->encoding_from	utf-8
TOP.5c61a1ed.000d6ad2	user_options->encoding_to	utf-8
TOP.5c61a1ed.000d6ad2	user_options->opencl_device_types	1
TOP.5c61a1ed.000d6ad2	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a1ed.000d6ad2	user_options->rule_buf_l	:
TOP.5c61a1ed.000d6ad2	user_options->rule_buf_r	:
TOP.5c61a1ed.000d6ad2	user_options->session	2019-02-11
TOP.5c61a1ed.000d6ad2	user_options->limit	0
TOP.5c61a1ed.000d6ad2	user_options->skip	0
TOP.5c61a1ed.000d6ad2	user_options->attack_mode	3
TOP.5c61a1ed.000d6ad2	user_options->benchmark	0
TOP.5c61a1ed.000d6ad2	user_options->benchmark_all	0
TOP.5c61a1ed.000d6ad2	user_options->bitmap_max	18
TOP.5c61a1ed.000d6ad2	user_options->bitmap_min	16
TOP.5c61a1ed.000d6ad2	user_options->debug_mode	0
TOP.5c61a1ed.000d6ad2	user_options->example_hashes	0
TOP.5c61a1ed.000d6ad2	user_options->force	0
TOP.5c61a1ed.000d6ad2	user_options->hwmon_disable	1
