TOP.5c61a0bc.00000dbe	START
TOP.5c61a4db.00007280	user_options->benchmark_all	0
TOP.5c61a4db.00007280	user_options->bitmap_max	18
TOP.5c61a4db.00007280	user_options->bitmap_min	16
TOP.5c61a4db.00007280	user_options->debug_mode	0
TOP.5c61a4db.00007280	user_options->example_hashes	0
TOP.5c61a4db.00007280	user_options->force	0
TOP.5c61a4db.00007280	user_options->hwmon_disable	1
TOP.5c61a4db.00007280	user_options->hwmon_temp_abort	0
TOP.5c61a4db.00007280	user_options->hash_mode	100
TOP.5c61a4db.00007280	user_options->hex_charset	0
TOP.5c61a4db.00007280	user_options->hex_salt	0
TOP.5c61a4db.00007280	user_options->hex_wordlist	0
TOP.5c61a4db.00007280	user_options->increment	1
TOP.5c61a4db.00007280	user_options->increment_max	7
TOP.5c61a4db.00007280	user_options->increment_min	5
TOP.5c61a4db.00007280	user_options->keep_guessing	0
TOP.5c61a4db.00007280	user_options->kernel_accel	0
TOP.5c61a4db.00007280	user_options->kernel_loops	0
TOP.5c61a4db.00007280	user_options->kernel_threads	0
TOP.5c61a4db.00007280	user_options->keyspace	0
TOP.5c61a4db.00007280	user_options->left	0
TOP.5c61a4db.00007280	user_options->logfile_disable	0
TOP.5c61a4db.00007280	user_options->loopback	0
TOP.5c61a4db.00007280	user_options->machine_readable	0
TOP.5c61a4db.00007280	user_options->markov_classic	0
TOP.5c61a4db.00007280	user_options->markov_disable	0
TOP.5c61a4db.00007280	user_options->markov_threshold	256
TOP.5c61a4db.00007280	user_options->opencl_info	0
TOP.5c61a4db.00007280	user_options->opencl_vector_width	0
TOP.5c61a4db.00007280	user_options->optimized_kernel_enable	1
TOP.5c61a4db.00007280	user_options->outfile_autohex	1
TOP.5c61a4db.00007280	user_options->outfile_check_timer	5
TOP.5c61a4db.00007280	user_options->outfile_format	3
TOP.5c61a4db.00007280	user_options->wordlist_autohex_disable	0
TOP.5c61a4db.00007280	user_options->potfile_disable	1
TOP.5c61a4db.00007280	user_options->progress_only	0
TOP.5c61a4db.00007280	user_options->quiet	0
TOP.5c61a4db.00007280	user_options->remove	1
TOP.5c61a4db.00007280	user_options->remove_timer	60
TOP.5c61a4db.00007280	user_options->restore	0
TOP.5c61a4db.00007280	user_options->restore_disable	0
TOP.5c61a4db.00007280	user_options->restore_timer	60
TOP.5c61a4db.00007280	user_options->rp_files_cnt	0
TOP.5c61a4db.00007280	user_options->rp_gen	0
TOP.5c61a4db.00007280	user_options->rp_gen_func_max	4
TOP.5c61a4db.00007280	user_options->rp_gen_func_min	1
TOP.5c61a4db.00007280	user_options->rp_gen_seed	0
TOP.5c61a4db.00007280	user_options->runtime	0
TOP.5c61a4db.00007280	user_options->scrypt_tmto	0
TOP.5c61a4db.00007280	user_options->segment_size	33554432
TOP.5c61a4db.00007280	user_options->self_test_disable	0
TOP.5c61a4db.00007280	user_options->slow_candidates	0
TOP.5c61a4db.00007280	user_options->show	0
TOP.5c61a4db.00007280	user_options->speed_only	0
TOP.5c61a4db.00007280	user_options->spin_damp	8
TOP.5c61a4db.00007280	user_options->status	1
TOP.5c61a4db.00007280	user_options->status_timer	60
TOP.5c61a4db.00007280	user_options->stdout_flag	0
TOP.5c61a4db.00007280	user_options->usage	0
TOP.5c61a4db.00007280	user_options->username	0
TOP.5c61a4db.00007280	user_options->veracrypt_pim	0
TOP.5c61a4db.00007280	user_options->version	0
TOP.5c61a4db.00007280	user_options->workload_profile	3
TOP.5c61a4db.00007280	user_options->brain_client	0
TOP.5c61a4db.00007280	user_options->brain_client_features	2
TOP.5c61a4db.00007280	user_options->brain_server	0
TOP.5c61a4db.00007280	user_options->brain_port	6863
TOP.5c61a4db.00007280	user_options->brain_session	0
TOP.5c61a4db.00007280	hashes->hashfile	C:\Users\vimal\Desktop\hashme.txt
TOP.5c61a4db.00007280	hashes->hashlist_mode	4
TOP.5c61a4db.00007280	hashes->hashlist_format	0
TOP.5c61a4db.00007280	hashes->hashes_cnt	0
TOP.5c61a4db.00007280	hashes->digests_cnt	1
TOP.5c61a4db.00007280	hashes->digests_done	0
TOP.5c61a4db.00007280	hashes->salts_cnt	1
TOP.5c61a4db.00007280	hashes->salts_done	0
TOP.5c61a4db.00007280	SUB.5c61a4dc.00069506	START
TOP.5c61a4db.00007280	SUB.5c61a4dc.00069506	mask_ctx->mask	?1?1?1?1?1
TOP.5c61a4db.00007280	SUB.5c61a4dc.00069506	runtime_start	1549903068
TOP.5c61a4db.00007280	SUB.5c61a4dc.00069506	runtime_stop	1549903069
TOP.5c61a4db.00007280	SUB.5c61a4dc.00069506	status-after-work	5
TOP.5c61a4db.00007280	SUB.5c61a4dc.00069506	STOP
TOP.5c61a4db.00007280	SUB.5c61a4dd.000bff3f	START
TOP.5c61a4db.00007280	SUB.5c61a4dd.000bff3f	mask_ctx->mask	?1?1?1?1?1?1
TOP.5c61a4db.00007280	SUB.5c61a4dd.000bff3f	runtime_start	1549903070
TOP.5c61a4db.00007280	SUB.5c61a4dd.000bff3f	runtime_stop	1549903087
TOP.5c61a4db.00007280	SUB.5c61a4dd.000bff3f	status-after-work	5
TOP.5c61a4db.00007280	SUB.5c61a4dd.000bff3f	STOP
TOP.5c61a4db.00007280	SUB.5c61a4ef.000e5220	START
TOP.5c61a4db.00007280	SUB.5c61a4ef.000e5220	mask_ctx->mask	?1?1?1?1?1?1?1
TOP.5c61a4db.00007280	SUB.5c61a4ef.000e5220	runtime_start	1549903088
TOP.5c61a4db.00007280	SUB.5c61a4ef.000e5220	runtime_stop	1549903091
TOP.5c61a4db.00007280	SUB.5c61a4ef.000e5220	status-after-work	6
TOP.5c61a4db.00007280	SUB.5c61a4ef.000e5220	STOP
TOP.5c61a4db.00007280	proc_start	1549903067
TOP.5c61a4db.00007280	proc_stop	1549903093
TOP.5c61a4db.00007280	STOP
TOP.5c61a529.00070475	START
TOP.5c61a529.00070475	user_options->separator	:
TOP.5c61a529.00070475	user_options->custom_charset_1	?l?d
TOP.5c61a529.00070475	user_options->encoding_from	utf-8
TOP.5c61a529.00070475	user_options->encoding_to	utf-8
TOP.5c61a529.00070475	user_options->opencl_device_types	1
TOP.5c61a529.00070475	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a529.00070475	user_options->rule_buf_l	:
TOP.5c61a529.00070475	user_options->rule_buf_r	:
TOP.5c61a529.00070475	user_options->session	2019-02-11
TOP.5c61a529.00070475	user_options->limit	0
TOP.5c61a529.00070475	user_options->skip	0
TOP.5c61a529.00070475	user_options->attack_mode	3
TOP.5c61a529.00070475	user_options->benchmark	0
TOP.5c61a529.00070475	user_options->benchmark_all	0
TOP.5c61a529.00070475	user_options->bitmap_max	18
TOP.5c61a529.00070475	user_options->bitmap_min	16
TOP.5c61a529.00070475	user_options->debug_mode	0
TOP.5c61a529.00070475	user_options->example_hashes	0
TOP.5c61a529.00070475	user_options->force	0
TOP.5c61a529.00070475	user_options->hwmon_disable	1
TOP.5c61a529.00070475	user_options->hwmon_temp_abort	0
TOP.5c61a529.00070475	user_options->hash_mode	100
TOP.5c61a529.00070475	user_options->hex_charset	0
TOP.5c61a529.00070475	user_options->hex_salt	0
TOP.5c61a529.00070475	user_options->hex_wordlist	0
TOP.5c61a529.00070475	user_options->increment	1
TOP.5c61a529.00070475	user_options->increment_max	7
TOP.5c61a529.00070475	user_options->increment_min	5
TOP.5c61a529.00070475	user_options->keep_guessing	0
TOP.5c61a529.00070475	user_options->kernel_accel	0
TOP.5c61a529.00070475	user_options->kernel_loops	0
TOP.5c61a529.00070475	user_options->kernel_threads	0
TOP.5c61a529.00070475	user_options->keyspace	0
TOP.5c61a529.00070475	user_options->left	0
TOP.5c61a529.00070475	user_options->logfile_disable	0
TOP.5c61a529.00070475	user_options->loopback	0
TOP.5c61a529.00070475	user_options->machine_readable	0
TOP.5c61a529.00070475	user_options->markov_classic	0
TOP.5c61a529.00070475	user_options->markov_disable	0
TOP.5c61a529.00070475	user_options->markov_threshold	256
TOP.5c61a529.00070475	user_options->opencl_info	0
TOP.5c61a529.00070475	user_options->opencl_vector_width	0
TOP.5c61a529.00070475	user_options->optimized_kernel_enable	1
TOP.5c61a529.00070475	user_options->outfile_autohex	1
TOP.5c61a529.00070475	user_options->outfile_check_timer	5
TOP.5c61a529.00070475	user_options->outfile_format	3
TOP.5c61a529.00070475	user_options->wordlist_autohex_disable	0
TOP.5c61a529.00070475	user_options->potfile_disable	1
TOP.5c61a529.00070475	user_options->progress_only	0
TOP.5c61a529.00070475	user_options->quiet	0
TOP.5c61a529.00070475	user_options->remove	1
TOP.5c61a529.00070475	user_options->remove_timer	60
TOP.5c61a529.00070475	user_options->restore	0
TOP.5c61a529.00070475	user_options->restore_disable	0
TOP.5c61a529.00070475	user_options->restore_timer	60
TOP.5c61a529.00070475	user_options->rp_files_cnt	0
TOP.5c61a529.00070475	user_options->rp_gen	0
TOP.5c61a529.00070475	user_options->rp_gen_func_max	4
TOP.5c61a529.00070475	user_options->rp_gen_func_min	1
TOP.5c61a529.00070475	user_options->rp_gen_seed	0
TOP.5c61a529.00070475	user_options->runtime	0
TOP.5c61a529.00070475	user_options->scrypt_tmto	0
TOP.5c61a529.00070475	user_options->segment_size	33554432
TOP.5c61a529.00070475	user_options->self_test_disable	0
TOP.5c61a529.00070475	user_options->slow_candidates	0
TOP.5c61a529.00070475	user_options->show	0
TOP.5c61a529.00070475	user_options->speed_only	0
TOP.5c61a529.00070475	user_options->spin_damp	8
TOP.5c61a529.00070475	user_options->status	1
TOP.5c61a529.00070475	user_options->status_timer	60
TOP.5c61a529.00070475	user_options->stdout_flag	0
TOP.5c61a529.00070475	user_options->usage	0
TOP.5c61a529.00070475	user_options->username	0
TOP.5c61a529.00070475	user_options->veracrypt_pim	0
TOP.5c61a529.00070475	user_options->version	0
TOP.5c61a529.00070475	user_options->workload_profile	3
TOP.5c61a529.00070475	user_options->brain_client	0
TOP.5c61a529.00070475	user_options->brain_client_features	2
TOP.5c61a529.00070475	user_options->brain_server	0
TOP.5c61a529.00070475	user_options->brain_port	6863
TOP.5c61a529.00070475	user_options->brain_session	0
TOP.5c61a529.00070475	hashes->hashfile	C:\Users\vimal\Desktop\hashme.txt
TOP.5c61a529.00070475	hashes->hashlist_mode	4
TOP.5c61a529.00070475	hashes->hashlist_format	0
TOP.5c61a529.00070475	hashes->hashes_cnt	0
TOP.5c61a529.00070475	hashes->digests_cnt	1
TOP.5c61a529.00070475	hashes->digests_done	0
TOP.5c61a529.00070475	hashes->salts_cnt	1
TOP.5c61a529.00070475	hashes->salts_done	0
TOP.5c61a529.00070475	SUB.5c61a52a.000c8857	START
TOP.5c61a529.00070475	SUB.5c61a52a.000c8857	mask_ctx->mask	?1?1?1?1?1
TOP.5c61a529.00070475	SUB.5c61a52a.000c8857	runtime_start	1549903146
TOP.5c61a529.00070475	SUB.5c61a52a.000c8857	runtime_stop	1549903148
TOP.5c61a529.00070475	SUB.5c61a52a.000c8857	status-after-work	5
TOP.5c61a529.00070475	SUB.5c61a52a.000c8857	STOP
TOP.5c61a529.00070475	SUB.5c61a52c.0002d2e9	START
TOP.5c61a529.00070475	SUB.5c61a52c.0002d2e9	mask_ctx->mask	?1?1?1?1?1?1
TOP.5c61a529.00070475	SUB.5c61a52c.0002d2e9	runtime_start	1549903148
TOP.5c61a529.00070475	SUB.5c61a52c.0002d2e9	runtime_stop	1549903166
TOP.5c61a529.00070475	SUB.5c61a52c.0002d2e9	status-after-work	5
TOP.5c61a529.00070475	SUB.5c61a52c.0002d2e9	STOP
TOP.5c61a529.00070475	SUB.5c61a53e.00028134	START
TOP.5c61a529.00070475	SUB.5c61a53e.00028134	mask_ctx->mask	?1?1?1?1?1?1?1
TOP.5c61a529.00070475	SUB.5c61a53e.00028134	runtime_start	1549903166
TOP.5c61a529.00070475	SUB.5c61a53e.00028134	runtime_stop	1549903782
TOP.5c61a529.00070475	SUB.5c61a53e.00028134	status-after-work	5
TOP.5c61a529.00070475	SUB.5c61a53e.00028134	STOP
TOP.5c61a529.00070475	proc_start	1549903145
TOP.5c61a529.00070475	proc_stop	1549903784
TOP.5c61a529.00070475	STOP
TOP.5c61a7f3.000c9d15	START
TOP.5c61a7f3.000c9d15	user_options->separator	:
TOP.5c61a7f3.000c9d15	user_options->custom_charset_1	?d?l?u
TOP.5c61a7f3.000c9d15	user_options->encoding_from	utf-8
TOP.5c61a7f3.000c9d15	user_options->encoding_to	utf-8
TOP.5c61a7f3.000c9d15	user_options->opencl_device_types	1
TOP.5c61a7f3.000c9d15	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a7f3.000c9d15	user_options->rule_buf_l	:
TOP.5c61a7f3.000c9d15	user_options->rule_buf_r	:
TOP.5c61a7f3.000c9d15	user_options->session	2019-02-11
TOP.5c61a7f3.000c9d15	user_options->limit	0
TOP.5c61a7f3.000c9d15	user_options->skip	0
TOP.5c61a7f3.000c9d15	user_options->attack_mode	3
TOP.5c61a7f3.000c9d15	user_options->benchmark	0
TOP.5c61a7f3.000c9d15	user_options->benchmark_all	0
TOP.5c61a7f3.000c9d15	user_options->bitmap_max	18
TOP.5c61a7f3.000c9d15	user_options->bitmap_min	16
TOP.5c61a7f3.000c9d15	user_options->debug_mode	0
TOP.5c61a7f3.000c9d15	user_options->example_hashes	0
TOP.5c61a7f3.000c9d15	user_options->force	0
TOP.5c61a7f3.000c9d15	user_options->hwmon_disable	1
TOP.5c61a7f3.000c9d15	user_options->hwmon_temp_abort	0
TOP.5c61a7f3.000c9d15	user_options->hash_mode	120
TOP.5c61a7f3.000c9d15	user_options->hex_charset	0
TOP.5c61a7f3.000c9d15	user_options->hex_salt	0
TOP.5c61a7f3.000c9d15	user_options->hex_wordlist	0
TOP.5c61a7f3.000c9d15	user_options->increment	1
TOP.5c61a7f3.000c9d15	user_options->increment_max	7
TOP.5c61a7f3.000c9d15	user_options->increment_min	5
TOP.5c61a7f3.000c9d15	user_options->keep_guessing	0
TOP.5c61a7f3.000c9d15	user_options->kernel_accel	0
TOP.5c61a7f3.000c9d15	user_options->kernel_loops	0
TOP.5c61a7f3.000c9d15	user_options->kernel_threads	0
TOP.5c61a7f3.000c9d15	user_options->keyspace	0
TOP.5c61a7f3.000c9d15	user_options->left	0
TOP.5c61a7f3.000c9d15	user_options->logfile_disable	0
TOP.5c61a7f3.000c9d15	user_options->loopback	0
TOP.5c61a7f3.000c9d15	user_options->machine_readable	0
TOP.5c61a7f3.000c9d15	user_options->markov_classic	0
TOP.5c61a7f3.000c9d15	user_options->markov_disable	0
TOP.5c61a7f3.000c9d15	user_options->markov_threshold	256
TOP.5c61a7f3.000c9d15	user_options->opencl_info	0
TOP.5c61a7f3.000c9d15	user_options->opencl_vector_width	0
TOP.5c61a7f3.000c9d15	user_options->optimized_kernel_enable	1
TOP.5c61a7f3.000c9d15	user_options->outfile_autohex	1
TOP.5c61a7f3.000c9d15	user_options->outfile_check_timer	5
TOP.5c61a7f3.000c9d15	user_options->outfile_format	3
TOP.5c61a7f3.000c9d15	user_options->wordlist_autohex_disable	0
TOP.5c61a7f3.000c9d15	user_options->potfile_disable	1
TOP.5c61a7f3.000c9d15	user_options->progress_only	0
TOP.5c61a7f3.000c9d15	user_options->quiet	0
TOP.5c61a7f3.000c9d15	user_options->remove	1
TOP.5c61a7f3.000c9d15	user_options->remove_timer	60
TOP.5c61a7f3.000c9d15	user_options->restore	0
TOP.5c61a7f3.000c9d15	user_options->restore_disable	0
TOP.5c61a7f3.000c9d15	user_options->restore_timer	60
TOP.5c61a7f3.000c9d15	user_options->rp_files_cnt	0
TOP.5c61a7f3.000c9d15	user_options->rp_gen	0
TOP.5c61a7f3.000c9d15	user_options->rp_gen_func_max	4
TOP.5c61a7f3.000c9d15	user_options->rp_gen_func_min	1
TOP.5c61a7f3.000c9d15	user_options->rp_gen_seed	0
TOP.5c61a7f3.000c9d15	user_options->runtime	0
TOP.5c61a7f3.000c9d15	user_options->scrypt_tmto	0
TOP.5c61a7f3.000c9d15	user_options->segment_size	33554432
TOP.5c61a7f3.000c9d15	user_options->self_test_disable	0
TOP.5c61a7f3.000c9d15	user_options->slow_candidates	0
TOP.5c61a7f3.000c9d15	user_options->show	0
TOP.5c61a7f3.000c9d15	user_options->speed_only	0
TOP.5c61a7f3.000c9d15	user_options->spin_damp	8
TOP.5c61a7f3.000c9d15	user_options->status	1
TOP.5c61a7f3.000c9d15	user_options->status_timer	60
TOP.5c61a7f3.000c9d15	user_options->stdout_flag	0
TOP.5c61a7f3.000c9d15	user_options->usage	0
TOP.5c61a7f3.000c9d15	user_options->username	0
TOP.5c61a7f3.000c9d15	user_options->veracrypt_pim	0
TOP.5c61a7f3.000c9d15	user_options->version	0
TOP.5c61a7f3.000c9d15	user_options->workload_profile	3
TOP.5c61a7f3.000c9d15	user_options->brain_client	0
TOP.5c61a7f3.000c9d15	user_options->brain_client_features	2
TOP.5c61a7f3.000c9d15	user_options->brain_server	0
TOP.5c61a7f3.000c9d15	user_options->brain_port	6863
TOP.5c61a7f3.000c9d15	user_options->brain_session	0
TOP.5c61a7f3.000c9d15	proc_start	1549903859
TOP.5c61a7f3.000c9d15	proc_stop	1549903859
TOP.5c61a7f3.000c9d15	STOP
TOP.5c61a80e.0001b899	START
TOP.5c61a80e.0001b899	user_options->separator	:
TOP.5c61a80e.0001b899	user_options->custom_charset_1	?d?l?u
TOP.5c61a80e.0001b899	user_options->encoding_from	utf-8
TOP.5c61a80e.0001b899	user_options->encoding_to	utf-8
TOP.5c61a80e.0001b899	user_options->opencl_device_types	1
TOP.5c61a80e.0001b899	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a80e.0001b899	user_options->rule_buf_l	:
TOP.5c61a80e.0001b899	user_options->rule_buf_r	:
TOP.5c61a80e.0001b899	user_options->session	2019-02-11
TOP.5c61a80e.0001b899	user_options->limit	0
TOP.5c61a80e.0001b899	user_options->skip	0
TOP.5c61a80e.0001b899	user_options->attack_mode	3
TOP.5c61a80e.0001b899	user_options->benchmark	0
TOP.5c61a80e.0001b899	user_options->benchmark_all	0
TOP.5c61a80e.0001b899	user_options->bitmap_max	18
TOP.5c61a80e.0001b899	user_options->bitmap_min	16
TOP.5c61a80e.0001b899	user_options->debug_mode	0
TOP.5c61a80e.0001b899	user_options->example_hashes	0
TOP.5c61a80e.0001b899	user_options->force	0
TOP.5c61a80e.0001b899	user_options->hwmon_disable	1
TOP.5c61a80e.0001b899	user_options->hwmon_temp_abort	0
TOP.5c61a80e.0001b899	user_options->hash_mode	120
TOP.5c61a80e.0001b899	user_options->hex_charset	0
TOP.5c61a80e.0001b899	user_options->hex_salt	0
TOP.5c61a80e.0001b899	user_options->hex_wordlist	0
TOP.5c61a80e.0001b899	user_options->increment	1
TOP.5c61a80e.0001b899	user_options->increment_max	7
TOP.5c61a80e.0001b899	user_options->increment_min	5
TOP.5c61a80e.0001b899	user_options->keep_guessing	0
TOP.5c61a80e.0001b899	user_options->kernel_accel	0
TOP.5c61a80e.0001b899	user_options->kernel_loops	0
TOP.5c61a80e.0001b899	user_options->kernel_threads	0
TOP.5c61a80e.0001b899	user_options->keyspace	0
TOP.5c61a80e.0001b899	user_options->left	0
TOP.5c61a80e.0001b899	user_options->logfile_disable	0
TOP.5c61a80e.0001b899	user_options->loopback	0
TOP.5c61a80e.0001b899	user_options->machine_readable	0
TOP.5c61a80e.0001b899	user_options->markov_classic	0
TOP.5c61a80e.0001b899	user_options->markov_disable	0
TOP.5c61a80e.0001b899	user_options->markov_threshold	256
TOP.5c61a80e.0001b899	user_options->opencl_info	0
TOP.5c61a80e.0001b899	user_options->opencl_vector_width	0
TOP.5c61a80e.0001b899	user_options->optimized_kernel_enable	1
TOP.5c61a80e.0001b899	user_options->outfile_autohex	1
TOP.5c61a80e.0001b899	user_options->outfile_check_timer	5
TOP.5c61a80e.0001b899	user_options->outfile_format	3
TOP.5c61a80e.0001b899	user_options->wordlist_autohex_disable	0
TOP.5c61a80e.0001b899	user_options->potfile_disable	1
TOP.5c61a80e.0001b899	user_options->progress_only	0
TOP.5c61a80e.0001b899	user_options->quiet	0
TOP.5c61a80e.0001b899	user_options->remove	1
TOP.5c61a80e.0001b899	user_options->remove_timer	60
TOP.5c61a80e.0001b899	user_options->restore	0
TOP.5c61a80e.0001b899	user_options->restore_disable	0
TOP.5c61a80e.0001b899	user_options->restore_timer	60
TOP.5c61a80e.0001b899	user_options->rp_files_cnt	0
TOP.5c61a80e.0001b899	user_options->rp_gen	0
TOP.5c61a80e.0001b899	user_options->rp_gen_func_max	4
TOP.5c61a80e.0001b899	user_options->rp_gen_func_min	1
TOP.5c61a80e.0001b899	user_options->rp_gen_seed	0
TOP.5c61a80e.0001b899	user_options->runtime	0
TOP.5c61a80e.0001b899	user_options->scrypt_tmto	0
TOP.5c61a80e.0001b899	user_options->segment_size	33554432
TOP.5c61a80e.0001b899	user_options->self_test_disable	0
TOP.5c61a80e.0001b899	user_options->slow_candidates	0
TOP.5c61a80e.0001b899	user_options->show	0
TOP.5c61a80e.0001b899	user_options->speed_only	0
TOP.5c61a80e.0001b899	user_options->spin_damp	8
TOP.5c61a80e.0001b899	user_options->status	1
TOP.5c61a80e.0001b899	user_options->status_timer	60
TOP.5c61a80e.0001b899	user_options->stdout_flag	0
TOP.5c61a80e.0001b899	user_options->usage	0
TOP.5c61a80e.0001b899	user_options->username	0
TOP.5c61a80e.0001b899	user_options->veracrypt_pim	0
TOP.5c61a80e.0001b899	user_options->version	0
TOP.5c61a80e.0001b899	user_options->workload_profile	3
TOP.5c61a80e.0001b899	user_options->brain_client	0
TOP.5c61a80e.0001b899	user_options->brain_client_features	2
TOP.5c61a80e.0001b899	user_options->brain_server	0
TOP.5c61a80e.0001b899	user_options->brain_port	6863
TOP.5c61a80e.0001b899	user_options->brain_session	0
TOP.5c61a80e.0001b899	proc_start	1549903886
TOP.5c61a80e.0001b899	proc_stop	1549903886
TOP.5c61a80e.0001b899	STOP
TOP.5c61a820.000b8631	START
TOP.5c61a820.000b8631	user_options->separator	:
TOP.5c61a820.000b8631	user_options->custom_charset_1	?d?l?u
TOP.5c61a820.000b8631	user_options->encoding_from	utf-8
TOP.5c61a820.000b8631	user_options->encoding_to	utf-8
TOP.5c61a820.000b8631	user_options->opencl_device_types	1
TOP.5c61a820.000b8631	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a820.000b8631	user_options->rule_buf_l	:
TOP.5c61a820.000b8631	user_options->rule_buf_r	:
TOP.5c61a820.000b8631	user_options->session	2019-02-11
TOP.5c61a820.000b8631	user_options->limit	0
TOP.5c61a820.000b8631	user_options->skip	0
TOP.5c61a820.000b8631	user_options->attack_mode	3
TOP.5c61a820.000b8631	user_options->benchmark	0
TOP.5c61a820.000b8631	user_options->benchmark_all	0
TOP.5c61a820.000b8631	user_options->bitmap_max	18
TOP.5c61a820.000b8631	user_options->bitmap_min	16
TOP.5c61a820.000b8631	user_options->debug_mode	0
TOP.5c61a820.000b8631	user_options->example_hashes	0
TOP.5c61a820.000b8631	user_options->force	0
TOP.5c61a820.000b8631	user_options->hwmon_disable	1
TOP.5c61a820.000b8631	user_options->hwmon_temp_abort	0
TOP.5c61a820.000b8631	user_options->hash_mode	120
TOP.5c61a820.000b8631	user_options->hex_charset	0
TOP.5c61a820.000b8631	user_options->hex_salt	0
TOP.5c61a820.000b8631	user_options->hex_wordlist	0
TOP.5c61a820.000b8631	user_options->increment	1
TOP.5c61a820.000b8631	user_options->increment_max	7
TOP.5c61a820.000b8631	user_options->increment_min	5
TOP.5c61a820.000b8631	user_options->keep_guessing	0
TOP.5c61a820.000b8631	user_options->kernel_accel	0
TOP.5c61a820.000b8631	user_options->kernel_loops	0
TOP.5c61a820.000b8631	user_options->kernel_threads	0
TOP.5c61a820.000b8631	user_options->keyspace	0
TOP.5c61a820.000b8631	user_options->left	0
TOP.5c61a820.000b8631	user_options->logfile_disable	0
TOP.5c61a820.000b8631	user_options->loopback	0
TOP.5c61a820.000b8631	user_options->machine_readable	0
TOP.5c61a820.000b8631	user_options->markov_classic	0
TOP.5c61a820.000b8631	user_options->markov_disable	0
TOP.5c61a820.000b8631	user_options->markov_threshold	256
TOP.5c61a820.000b8631	user_options->opencl_info	0
TOP.5c61a820.000b8631	user_options->opencl_vector_width	0
TOP.5c61a820.000b8631	user_options->optimized_kernel_enable	1
TOP.5c61a820.000b8631	user_options->outfile_autohex	1
TOP.5c61a820.000b8631	user_options->outfile_check_timer	5
TOP.5c61a820.000b8631	user_options->outfile_format	3
TOP.5c61a820.000b8631	user_options->wordlist_autohex_disable	0
TOP.5c61a820.000b8631	user_options->potfile_disable	1
TOP.5c61a820.000b8631	user_options->progress_only	0
TOP.5c61a820.000b8631	user_options->quiet	0
TOP.5c61a820.000b8631	user_options->remove	1
TOP.5c61a820.000b8631	user_options->remove_timer	60
TOP.5c61a820.000b8631	user_options->restore	0
TOP.5c61a820.000b8631	user_options->restore_disable	0
TOP.5c61a820.000b8631	user_options->restore_timer	60
TOP.5c61a820.000b8631	user_options->rp_files_cnt	0
TOP.5c61a820.000b8631	user_options->rp_gen	0
TOP.5c61a820.000b8631	user_options->rp_gen_func_max	4
TOP.5c61a820.000b8631	user_options->rp_gen_func_min	1
TOP.5c61a820.000b8631	user_options->rp_gen_seed	0
TOP.5c61a820.000b8631	user_options->runtime	0
TOP.5c61a820.000b8631	user_options->scrypt_tmto	0
TOP.5c61a820.000b8631	user_options->segment_size	33554432
TOP.5c61a820.000b8631	user_options->self_test_disable	0
TOP.5c61a820.000b8631	user_options->slow_candidates	0
TOP.5c61a820.000b8631	user_options->show	0
TOP.5c61a820.000b8631	user_options->speed_only	0
TOP.5c61a820.000b8631	user_options->spin_damp	8
TOP.5c61a820.000b8631	user_options->status	1
TOP.5c61a820.000b8631	user_options->status_timer	60
TOP.5c61a820.000b8631	user_options->stdout_flag	0
TOP.5c61a820.000b8631	user_options->usage	0
TOP.5c61a820.000b8631	user_options->username	0
TOP.5c61a820.000b8631	user_options->veracrypt_pim	0
TOP.5c61a820.000b8631	user_options->version	0
TOP.5c61a820.000b8631	user_options->workload_profile	3
TOP.5c61a820.000b8631	user_options->brain_client	0
TOP.5c61a820.000b8631	user_options->brain_client_features	2
TOP.5c61a820.000b8631	user_options->brain_server	0
TOP.5c61a820.000b8631	user_options->brain_port	6863
TOP.5c61a820.000b8631	user_options->brain_session	0
TOP.5c61a820.000b8631	proc_start	1549903904
TOP.5c61a820.000b8631	proc_stop	1549903904
TOP.5c61a820.000b8631	STOP
TOP.5c61a829.000b66f2	START
TOP.5c61a829.000b66f2	user_options->separator	:
TOP.5c61a829.000b66f2	user_options->custom_charset_1	?d?l?u
TOP.5c61a829.000b66f2	user_options->encoding_from	utf-8
TOP.5c61a829.000b66f2	user_options->encoding_to	utf-8
TOP.5c61a829.000b66f2	user_options->opencl_device_types	1
TOP.5c61a829.000b66f2	user_options->outfile	C:\Users\vimal\Desktop\chashed.txt
TOP.5c61a829.000b66f2	user_options->rule_buf_l	:
TOP.5c61a829.000b66f2	user_options->rule_buf_r	:
TOP.5c61a829.000b66f2	user_options->session	2019-02-11
TOP.5c61a829.000b66f2	user_options->limit	0
TOP.5c61a829.000b66f2	user_options->skip	0
TOP.5c61a829.000b66f2	user_options->attack_mode	3
TOP.5c61a829.000b66f2	user_options->benchmark	0
TOP.5c61a829.000b66f2	user_options->benchmark_all	0
TOP.5c61a829.000b66f2	user_options->bitmap_max	18
TOP.5c61a829.000b66f2	user_options->bitmap_min	16
TOP.5c61a829.000b66f2	user_options->debug_mode	0
TOP.5c61a829.000b66f2	user_options->example_hashes	0
TOP.5c61a829.000b66f2	user_options->force	0
